Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;4;4;1;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;8;8;0,5;0,5
std-NetwerkPartitie;4;4;1;1
Opstarten;14;14;4;4
Connect;24;24;1;1
Disconnect;8;8;1;1
Berichten;8;8;1;1
BerichtNaVerandering;12;12;0,5;0,5
NetwerkPartitie;4;4;1;1
BovenLimiet;1;1;1;1
Totaal;-;-;18;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
Afstand naar 55501 is nu 1 via 55501
Verbonden: 55501
> R
55502 0 local
55500 1 55500
55501 1 55501
55503 1 55503
55504 1 55504
55505 2 55503

Process 55503:
Afstand naar 55502 is nu 1 via 55502
Verbonden: 55502
Afstand naar 55500 is nu 2 via 55502
Afstand naar 55501 is nu 3 via 55502
Afstand naar 55504 is nu 2 via 55502
Afstand naar 55505 is nu 1 via 55505
Verbonden: 55505
Afstand naar 55501 is nu 2 via 55502
> R
55503 0 local
55502 1 55502
55500 2 55502
55501 2 55502
55504 2 55502
55505 1 55505

Process 55504:
Afstand naar 55502 is nu 1 via 55502
Verbonden: 55502
Afstand naar 55500 is nu 2 via 55502
Afstand naar 55501 is nu 3 via 55502
Afstand naar 55503 is nu 2 via 55502
Afstand naar 55505 is nu 3 via 55502
Afstand naar 55501 is nu 2 via 55502
Afstand naar 55505 is nu 1 via 55505
Verbonden: 55505
> R
55504 0 local
55502 1 55502
55500 2 55502
55501 2 55502
55503 2 55502
55505 1 55505

Process 55505:
Afstand naar 55503 is nu 1 via 55503
Verbonden: 55503
Afstand naar 55502 is nu 2 via 55503
Afstand naar 55500 is nu 3 via 55503
Afstand naar 55501 is nu 4 via 55503
Afstand naar 55504 is nu 3 via 55503
Afstand naar 55501 is nu 3 via 55503
Afstand naar 55504 is nu 1 via 55504
Verbonden: 55504
> R
55505 0 local
55503 1 55503
55502 2 55503
55500 3 55503
55501 3 55503
55504 1 55504

------------------------------------

1;Standaard;Correct;0,56;Berichten sturen
Test 1 - Standaard

Correct: Berichtcheck - van 55503 naar 55505
Correct: Berichtcheck - van 55504 naar 55503
Correct: Berichtcheck - van 55501 naar 55505
Correct: Berichtcheck - van 55501 naar 55500
Correct: Berichtcheck - van 55505 naar 55500

Log
55503 > B 55505 HOI0
55505 < HOI0
55504 > B 55503 HOI1
55502 < Bericht voor 55503 doorgestuurd naar 55503
55503 < HOI1
55501 > B 55505 HOI2
55502 < Bericht voor 55505 doorgestuurd naar 55503
55503 < Bericht voor 55505 doorgestuurd naar 55505
55505 < HOI2
55501 > B 55500 HOI3
55500 < HOI3
55505 > B 55500 HOI4
55503 < Bericht voor 55500 doorgestuurd naar 55502
55502 < Bericht voor 55500 doorgestuurd naar 55500
55500 < HOI4

Process 55500:
HOI3
HOI4

Process 55501:
> B 55505 HOI2
> B 55500 HOI3

Process 55502:
Bericht voor 55503 doorgestuurd naar 55503
Bericht voor 55505 doorgestuurd naar 55503
Bericht voor 55500 doorgestuurd naar 55500

Process 55503:
> B 55505 HOI0
HOI1
Bericht voor 55505 doorgestuurd naar 55505
Bericht voor 55500 doorgestuurd naar 55502

Process 55504:
> B 55503 HOI1

Process 55505:
HOI0
HOI2
> B 55500 HOI4

------------------------------------

1;Standaard;Correct;2,52;Verbindingen aanleggen met C
Test 1 - Standaard

Verbinding van 0 naar 3 gemaakt.
Correct: na verandering klopt netwerk weer.
Correct: Berichtcheck - van 55505 naar 55500
Verbinding van 5 naar 1 gemaakt.
Correct: na verandering klopt netwerk weer.
Correct: Berichtcheck - van 55502 naar 55501

Log
55500 > C 55503
55500 < Afstand naar 55503 is nu 1 via 55503
55501 < Afstand naar 55503 is nu 2 via 55500
55500 < Verbonden: 55503
55503 < Afstand naar 55500 is nu 1 via 55500
55505 < Afstand naar 55500 is nu 2 via 55503
55503 < Verbonden: 55500
55500 < Afstand naar 55505 is nu 2 via 55503
55501 < Afstand naar 55505 is nu 3 via 55500
55505 > B 55500 HOI5
55503 < Bericht voor 55500 doorgestuurd naar 55500
55500 < HOI5
55505 > C 55501
55505 < Afstand naar 55501 is nu 1 via 55501
55501 < Afstand naar 55505 is nu 1 via 55505
55500 < Afstand naar 55505 is nu 2 via 55501
55505 < Verbonden: 55501
55501 < Verbonden: 55505
55502 > B 55501 HOI6
55501 < HOI6

Process 55500:
> C 55503
Afstand naar 55503 is nu 1 via 55503
Verbonden: 55503
Afstand naar 55505 is nu 2 via 55503
HOI5
Afstand naar 55505 is nu 2 via 55501

Process 55501:
Afstand naar 55503 is nu 2 via 55500
Afstand naar 55505 is nu 3 via 55500
Afstand naar 55505 is nu 1 via 55505
Verbonden: 55505
HOI6

Process 55502:
> B 55501 HOI6

Process 55503:
Afstand naar 55500 is nu 1 via 55500
Verbonden: 55500
Bericht voor 55500 doorgestuurd naar 55500

Process 55505:
Afstand naar 55500 is nu 2 via 55503
> B 55500 HOI5
> C 55501
Afstand naar 55501 is nu 1 via 55501
Verbonden: 55501

------------------------------------

1;Standaard;Correct;0,08;Berichten sturen in gewijzigd netwerk
Test 1 - Standaard

Verbinding van 0 naar 3 gemaakt.
Correct: na verandering klopt netwerk weer.
Correct: Berichtcheck - van 55505 naar 55500
Verbinding van 5 naar 1 gemaakt.
Correct: na verandering klopt netwerk weer.
Correct: Berichtcheck - van 55502 naar 55501

Log
55500 > C 55503
55500 < Afstand naar 55503 is nu 1 via 55503
55501 < Afstand naar 55503 is nu 2 via 55500
55500 < Verbonden: 55503
55503 < Afstand naar 55500 is nu 1 via 55500
55505 < Afstand naar 55500 is nu 2 via 55503
55503 < Verbonden: 55500
55500 < Afstand naar 55505 is nu 2 via 55503
55501 < Afstand naar 55505 is nu 3 via 55500
55505 > B 55500 HOI5
55503 < Bericht voor 55500 doorgestuurd naar 55500
55500 < HOI5
55505 > C 55501
55505 < Afstand naar 55501 is nu 1 via 55501
55501 < Afstand naar 55505 is nu 1 via 55505
55500 < Afstand naar 55505 is nu 2 via 55501
55505 < Verbonden: 55501
55501 < Verbonden: 55505
55502 > B 55501 HOI6
55501 < HOI6

Process 55500:
> C 55503
Afstand naar 55503 is nu 1 via 55503
Verbonden: 55503
Afstand naar 55505 is nu 2 via 55503
HOI5
Afstand naar 55505 is nu 2 via 55501

Process 55501:
Afstand naar 55503 is nu 2 via 55500
Afstand naar 55505 is nu 3 via 55500
Afstand naar 55505 is nu 1 via 55505
Verbonden: 55505
HOI6

Process 55502:
> B 55501 HOI6

Process 55503:
Afstand naar 55500 is nu 1 via 55500
Verbonden: 55500
Bericht voor 55500 doorgestuurd naar 55500

Process 55505:
Afstand naar 55500 is nu 2 via 55503
> B 55500 HOI5
> C 55501
Afstand naar 55501 is nu 1 via 55501
Verbonden: 55501

------------------------------------

1;Standaard;Correct;10,80;Verbindingen verbreken
Test 1 - Standaard

Verbinding van 0 naar 3 verbroken.
WAARSCHUWING: de afstandupdates ('Afstand naar ... is nu ... via ...') worden mogelijk niet goed weergegeven!
Correct: na verandering klopt het netwerk weer.
